Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
7761,Random Forest,1,0.9773833055615523,0.6810393422213387,1.7632919361793873,6.193501253126345,2.4886745976777167,0.77012903821462,0.7725356296673154,13.798731740568792
7761,Random Forest,2,0.9773833055615523,0.6810393422213387,2.12978029322984,7.829466348641656,2.798118358583435,0.709750735485699,0.7100997527406565,17.092322209734515
7761,Random Forest,3,0.9773833055615523,0.6810393422213387,2.3379223803363516,8.915162851660195,2.985826996270915,0.6694626467366016,0.6700650819928637,19.178911085851162
7761,Random Forest,4,0.9773833055615523,0.6810393422213387,2.4042149633462695,9.356729481888744,3.05887716031369,0.6532612314613312,0.6534194195432514,19.951046261763423
7761,Random Forest,5,0.9773833055615523,0.6810393422213387,2.4488061664510563,9.514057371065114,3.0844865652268796,0.6475833712265647,0.6483056249014552,20.048068136783563
7761,Random Forest,6,0.9773833055615523,0.6810393422213387,2.4869620526088827,9.828159906425181,3.1349896182324404,0.636049030203216,0.6376970535982208,20.44277771851187
7761,Linear Regression,1,0.7855914278560272,0.6580190294750691,2.0417528990167733,7.069282184471474,2.6588121754782668,0.7376245473339601,0.7376904744991319,16.53973032921766
7761,Linear Regression,2,0.7855914278560272,0.6580190294750691,2.4337013738151954,9.330203859954645,3.054538240054402,0.6541162976464983,0.6541747136943534,19.986352184282328
7761,Linear Regression,3,0.7855914278560272,0.6580190294750691,2.4891249333566106,9.87273604876103,3.1420910312658084,0.6339597944172255,0.6341284677283607,20.312405245573693
7761,Linear Regression,4,0.7855914278560272,0.6580190294750691,2.4659415510614435,9.568727221561414,3.093335937392092,0.645405085216068,0.6454095184779993,20.244104693344628
7761,Linear Regression,5,0.7855914278560272,0.6580190294750691,2.4949108778771603,9.758527899371597,3.1238642575136963,0.6385277731720214,0.6404919200331017,20.165416178623666
7761,Linear Regression,6,0.7855914278560272,0.6580190294750691,2.4862413097602007,9.7624954740438,3.12449923572463,0.6384806790646408,0.6403701364293048,20.202695844455874
7761,SVM,1,0.8305270158836208,0.6798364447054154,1.780286323187742,6.194435421348958,2.488862274483857,0.7700943666873166,0.7731907556893269,14.018399723542469
7761,SVM,2,0.8305270158836208,0.6798364447054154,2.162242168465401,8.018902578728042,2.8317666886112,0.7027280695712494,0.7028081105389117,17.609810541110374
7761,SVM,3,0.8305270158836208,0.6798364447054154,2.3500736858428035,9.07818038477972,3.01300188927583,0.6634186310714449,0.6646286866706932,19.388391052789572
7761,SVM,4,0.8305270158836208,0.6798364447054154,2.393367918054906,9.22628468191301,3.037479988726347,0.6580952142534391,0.6614469169706456,20.076779071859665
7761,SVM,5,0.8305270158836208,0.6798364447054154,2.4325879408414757,9.428466211132035,3.0705807612131024,0.650753811224978,0.6509100547269207,20.28079297630873
7761,SVM,6,0.8305270158836208,0.6798364447054154,2.4954323691804476,9.885420829937729,3.1441089087271976,0.6339285754240638,0.6347196528907477,20.57740574536989
7761,Gradient Boosting,1,0.8347192277721375,0.677775905967042,1.8539016444192447,6.43877949588026,2.537475023695851,0.7610255693910026,0.7630357425728771,14.48927971672212
7761,Gradient Boosting,2,0.8347192277721375,0.677775905967042,2.184456361706099,8.002951535805614,2.8289488393757876,0.7033193970347456,0.7034515885969046,17.63335184823283
7761,Gradient Boosting,3,0.8347192277721375,0.677775905967042,2.36502052629835,9.058410041500771,3.009719262904893,0.6641516336031168,0.6643145675090116,19.293151521121903
7761,Gradient Boosting,4,0.8347192277721375,0.677775905967042,2.408318045971163,9.286492152932269,3.0473746328491136,0.6558640645340361,0.6559119650010019,19.758392229672463
7761,Gradient Boosting,5,0.8347192277721375,0.677775905967042,2.456350959329673,9.583534399681234,3.0957284118089614,0.6450098256563483,0.6468712176720527,19.94065569252273
7761,Gradient Boosting,6,0.8347192277721375,0.677775905967042,2.4847450026909623,9.794785152704556,3.1296621467347805,0.6372849455830023,0.6412750178087385,20.166992183526812
7761,KNN,1,0.8772251304385899,0.6191808546430807,2.184118154376886,8.247157826649417,2.8717865217751504,0.6939078520972646,0.7020425618218211,17.35973062163538
7761,KNN,2,0.8772251304385899,0.6191808546430807,2.3709918068132816,9.35406476929711,3.0584415589147866,0.6532317403754277,0.653781609229495,19.42667849152792
7761,KNN,3,0.8772251304385899,0.6191808546430807,2.573156532988357,10.691843984476067,3.2698385257495617,0.6035906611088108,0.6039013079965928,21.344092999016134
7761,KNN,4,0.8772251304385899,0.6191808546430807,2.6121388529538594,10.81068037947391,3.287959911476098,0.5993811716904243,0.5997355969235357,21.737555401238133
7761,KNN,5,0.8772251304385899,0.6191808546430807,2.636791720569211,11.119593445450626,3.3346054407456704,0.5881116244584733,0.5890334983297656,21.736327538901254
7761,KNN,6,0.8772251304385899,0.6191808546430807,2.691147046140578,11.426448900388097,3.380303078185164,0.5768620781280831,0.5794029937452487,21.90153738566167
7761,Decision Tree,1,1.0,0.37324176993716596,2.3706554549374723,10.367940922811554,3.2199287139332067,0.6151952741661818,0.6167377183629275,18.68156309503185
7761,Decision Tree,2,1.0,0.37324176993716596,3.0014014661492023,15.172826649417852,3.8952312703378538,0.4375221018274693,0.4376748356238408,23.733521194502643
7761,Decision Tree,3,1.0,0.37324176993716596,3.355411815437689,18.184480379473914,4.264326486031987,0.3257947033483305,0.32677926643925037,27.091558000631714
7761,Decision Tree,4,1.0,0.37324176993716596,3.355347132384648,18.25766494178525,4.272898892062068,0.3234131359082164,0.32341467604472895,27.064450274845274
