Variable,Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
temperature_c,7761,Linear Regression,1,0.7773697362308457,0.6437934911264501,2.3444551936813944,8.746025032500667,2.9573679230864505,0.6753924631879096,0.6761641025174532,19.45375233547331
temperature_c,7761,Linear Regression,2,0.7773697362308457,0.6437934911264501,2.4958246599170364,9.756095041016334,3.1234748343817875,0.6383279160938108,0.638951628083327,20.499762600280768
temperature_c,7761,Linear Regression,3,0.7773697362308457,0.6437934911264501,2.4859688055981044,9.839544720952238,3.136804858602498,0.6351903915277619,0.6354119857784526,20.273774257026382
temperature_c,7761,Linear Regression,4,0.7773697362308457,0.6437934911264501,2.4708813744804488,9.596963099442645,3.0978965604814253,0.6443587288429253,0.6443807218281183,20.231311074708728
temperature_c,7761,Linear Regression,5,0.7773697362308457,0.6437934911264501,2.5084391969926765,9.873872940921741,3.1422719393651692,0.6342551995366699,0.6362632542387684,20.267254714525137
temperature_c,7761,Linear Regression,6,0.7773697362308457,0.6437934911264501,2.4988892133734515,9.850108351009844,3.138488226998764,0.6352362475696228,0.6365023912319405,20.374319918051732
temperature_c,7761,Random Forest,1,0.969532958052592,0.6756369776266927,1.9161413612009874,6.89580797025799,2.625987046856475,0.744063019344616,0.747030223580456,15.050916221078129
temperature_c,7761,Random Forest,2,0.969532958052592,0.6756369776266927,2.1467373924861968,7.9570519584535955,2.8208246947397484,0.705020958542862,0.7052880072606493,17.283825072305618
temperature_c,7761,Random Forest,3,0.969532958052592,0.6756369776266927,2.3461202812232615,8.993186582374415,2.998864215394624,0.6665698496143133,0.667416746642848,19.317700618613177
temperature_c,7761,Random Forest,4,0.969532958052592,0.6756369776266927,2.4192460838299787,9.3932730991121,3.0648447104400085,0.6519070094697152,0.6520266746680314,20.06620578567633
temperature_c,7761,Random Forest,5,0.969532958052592,0.6756369776266927,2.4536540452579514,9.494704047114809,3.0813477647151104,0.6483002507781711,0.6490052355627047,20.12149221724611
temperature_c,7761,Random Forest,6,0.969532958052592,0.6756369776266927,2.4869649704206283,9.776534921991091,3.1267451002585886,0.6379607780104782,0.6397278736272594,20.38477380872626
temperature_c,7761,Gradient Boosting,1,0.8594551357095034,0.6822855695993749,1.911380672463428,6.701834326505637,2.588790127937303,0.7512623249115375,0.7547818123845351,14.93810905581699
temperature_c,7761,Gradient Boosting,2,0.8594551357095034,0.6822855695993749,2.1203778153397614,7.7244113373722,2.7792825220499267,0.7136452716388292,0.7137590034471382,17.108899422084274
temperature_c,7761,Gradient Boosting,3,0.8594551357095034,0.6822855695993749,2.3083728936849943,8.712052201966227,2.9516185732520093,0.6769931492845109,0.678080953442632,18.978246033195845
temperature_c,7761,Gradient Boosting,4,0.8594551357095034,0.6822855695993749,2.3815029365856235,9.08725585846465,3.0145075648378543,0.6632473011153255,0.6635633884521386,19.69807961195049
temperature_c,7761,Gradient Boosting,5,0.8594551357095034,0.6822855695993749,2.4369421008287535,9.434685341601632,3.0715932903953336,0.6505234442103052,0.6513163295834525,19.946027104269824
temperature_c,7761,Gradient Boosting,6,0.8594551357095034,0.6822855695993749,2.4821716905197446,9.774343583690543,3.126394662177273,0.6380419264357411,0.6407899274009403,20.265102452191737
temperature_c,7761,SVM,1,0.8499150398161133,0.664110932493843,1.97826853849179,7.138085838818525,2.6717196407592105,0.7350709090036018,0.7415320789551632,15.537975111135575
temperature_c,7761,SVM,2,0.8499150398161133,0.664110932493843,2.1758333405423587,8.143082295227694,2.8536086443707895,0.6981245538555363,0.699081158290346,17.574492150708583
temperature_c,7761,SVM,3,0.8499150398161133,0.664110932493843,2.3635926196388017,9.30116402950363,3.0497809805793645,0.6551513200896448,0.6556921001071857,19.423933778677576
temperature_c,7761,SVM,4,0.8499150398161133,0.664110932493843,2.440049724085159,9.582473141414557,3.0955570001882626,0.6448956931970367,0.6464186360674814,20.24765204822536
temperature_c,7761,SVM,5,0.8499150398161133,0.664110932493843,2.4768802141754582,9.817017254597234,3.1332119709009847,0.6363612294374377,0.6364012616606366,20.496286104196678
temperature_c,7761,SVM,6,0.8499150398161133,0.664110932493843,2.555744070153019,10.394898267107012,3.224112012183667,0.6150618893798006,0.6186748498657471,20.74112822161883
temperature_c,7761,KNN,1,1.0,0.5584775354690141,2.4160008541927267,9.751720514589843,3.1227744898711216,0.6380662113179587,0.6415744962900602,19.519210430341587
temperature_c,7761,KNN,2,1.0,0.5584775354690141,2.6270983252618887,11.13197193374576,3.336460989393666,0.5873222359625945,0.58732513502264,21.71120567421566
temperature_c,7761,KNN,3,1.0,0.5584775354690141,2.7672885894064603,12.322361973235576,3.51032220362114,0.5431378001324615,0.5448147367746137,23.0445435348354
temperature_c,7761,KNN,4,1.0,0.5584775354690141,2.844640874091622,12.807800384023084,3.578798734774433,0.5253725202335545,0.5263182713669272,23.77380584639211
temperature_c,7761,KNN,5,1.0,0.5584775354690141,2.799850529237,12.391449439617386,3.5201490649711675,0.5409999470459841,0.5411337660756543,23.101123799727446
temperature_c,7761,KNN,6,1.0,0.5584775354690141,2.876378851316081,13.070877814076859,3.6153668989574017,0.5159664981215316,0.5177606048180436,23.483278072964268
temperature_c,7761,Decision Tree,1,0.8671133468215991,0.5687098142758832,2.2423504002847854,9.285732781872948,3.047250035995233,0.6553612830265098,0.6591578317039041,17.54056832047508
temperature_c,7761,Decision Tree,2,0.8671133468215991,0.5687098142758832,2.523390490072265,10.9235877696677,3.3050851380361896,0.5950473282826576,0.595720669350611,19.808697217774252
