Variable,Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
humidity,7761,Linear Regression,1,0.30382035142835945,0.08239505754530502,9.118117110889948,131.23069636921056,11.45559672689339,0.1977107439720729,0.201600562074986,13.002786737626817
humidity,7761,Linear Regression,2,0.30382035142835945,0.08239505754530502,9.469014848770783,141.24753412669907,11.88476058348249,0.1371320421082759,0.1420457601145999,13.524767042296858
humidity,7761,Linear Regression,3,0.30382035142835945,0.08239505754530502,9.753900604944704,151.06470151506625,12.290838112800374,0.07711825814329676,0.08330068238804778,14.018650235247481
humidity,7761,Linear Regression,4,0.30382035142835945,0.08239505754530502,10.051739116182674,155.80954475755755,12.482369356719001,0.048081099652477866,0.05461319533499642,14.465840363102068
humidity,7761,Linear Regression,5,0.30382035142835945,0.08239505754530502,10.093902080903288,158.93819760469881,12.607069350356522,0.028910378253851676,0.03186260026018595,14.62487814348337
humidity,7761,Linear Regression,6,0.30382035142835945,0.08239505754530502,10.313477559894325,162.78322311317436,12.758652872195182,0.005417823141855016,0.012154325807305022,14.866708113822158
humidity,7761,Random Forest,1,0.8725507429751356,0.08969299590177447,8.284248067340894,116.72164203827334,10.803779062822107,0.2864129967749277,0.2864397004200201,12.07451672388112
humidity,7761,Random Forest,2,0.8725507429751356,0.08969299590177447,9.218399206634366,136.18854595918668,11.669984831146383,0.1680369270401727,0.17307126398719896,13.258099205470675
humidity,7761,Random Forest,3,0.8725507429751356,0.08969299590177447,9.990646376127291,154.3898885678468,12.42537277379825,0.056804085550413275,0.08024070747411527,14.201496619436444
humidity,7761,Random Forest,4,0.8725507429751356,0.08969299590177447,10.30227365329798,163.26943792578237,12.77769298135553,0.0025048590411842486,0.03235013748662163,14.606413535764814
humidity,7761,Random Forest,5,0.8725507429751356,0.08969299590177447,10.246137691452624,160.4011622678923,12.66495804445843,0.019971873710457166,0.04058197503115901,14.627242023318813
humidity,7761,Random Forest,6,0.8725507429751356,0.08969299590177447,10.388500148007246,162.94535291205045,12.76500501026343,0.004427233293491706,0.024315127596732933,14.823888554089883
humidity,7761,Gradient Boosting,1,0.48240180892866297,0.11015584079381967,7.936887010735011,110.79084356711994,10.525722947480611,0.32267140296128405,0.32550147876346236,11.65065524271322
humidity,7761,Gradient Boosting,2,0.48240180892866297,0.11015584079381967,9.013390857812768,130.95054398468022,11.443362442249228,0.20003539055402808,0.20121470070118264,13.021581181513664
humidity,7761,Gradient Boosting,3,0.48240180892866297,0.11015584079381967,9.730307013426875,150.00325061016406,12.247581418801186,0.0836028548107306,0.09584954512644783,13.919228568904082
humidity,7761,Gradient Boosting,4,0.48240180892866297,0.11015584079381967,10.163372348656816,159.85693634188567,12.643454288361456,0.023353548126514245,0.04301570710435032,14.48166201430922
humidity,7761,Gradient Boosting,5,0.48240180892866297,0.11015584079381967,10.116170393634032,158.90573924010567,12.605781976541783,0.02910869421232043,0.03945414692182203,14.543645943627409
humidity,7761,Gradient Boosting,6,0.48240180892866297,0.11015584079381967,10.325698004931905,163.31591465887692,12.779511518789633,0.002163154098040576,0.010714992403464074,14.856037604546756
humidity,7761,SVM,1,0.40516066138025186,0.06437690448076255,8.143677324958357,117.19844392108055,10.82582301356717,0.28349803070057367,0.3046184380422001,12.061920866079582
humidity,7761,SVM,2,0.40516066138025186,0.06437690448076255,9.010861783312247,138.57351390749048,11.771725188241971,0.1534673812005678,0.16575048330185604,13.274090184653586
humidity,7761,SVM,3,0.40516066138025186,0.06437690448076255,9.715696576133238,158.96320345556396,12.60806105059632,0.028864872965965405,0.03170081754915677,14.235475501075776
humidity,7761,SVM,4,0.40516066138025186,0.06437690448076255,10.08621302894703,166.42354855990064,12.900525127292324,-0.016765189729423202,-0.01661123038583412,14.648711782842275
humidity,7761,SVM,5,0.40516066138025186,0.06437690448076255,10.035543131364472,166.63742860206057,12.908812052317616,-0.018130820335550135,-0.015663129578317392,14.775800110079446
humidity,7761,SVM,6,0.40516066138025186,0.06437690448076255,10.250131579449993,170.98156114162273,13.075991784244236,-0.04467284791755821,-0.04073494454459614,15.104201709157843
humidity,7761,KNN,1,1.0,-0.20279006343180792,9.71819211955854,157.30526932919403,12.54213974285066,0.03830177701471127,0.039435472194998544,14.179877229893062
humidity,7761,KNN,2,1.0,-0.20279006343180792,10.71409797474895,186.65169830045923,13.662053224184834,-0.14023774464673044,-0.13738145722873618,15.409033955053014
humidity,7761,KNN,3,1.0,-0.20279006343180792,11.372492971614133,208.62442507331542,14.443836923522621,-0.2745245638095828,-0.2585575492317673,16.171470721246024
humidity,7761,KNN,4,1.0,-0.20279006343180792,11.559093188151719,212.71639269559202,14.584800056757446,-0.2995914655662193,-0.2822375952986602,16.398253738576937
humidity,7761,KNN,5,1.0,-0.20279006343180792,11.224880831784533,200.62417657071262,14.164186406945957,-0.22578498230953925,-0.21576539295510444,15.977534594017751
humidity,7761,KNN,6,1.0,-0.20279006343180792,11.638710028034176,215.21018445950142,14.670043778377126,-0.3149034012734868,-0.3066588850205296,16.618787663629565
humidity,7761,Decision Tree,1,0.5000871598024057,-0.12433081755261344,9.266650478624936,151.82927767303588,12.321902356090794,0.07177968571584237,0.07188813449135467,13.410499130299423
humidity,7761,Decision Tree,2,0.5000871598024057,-0.12433081755261344,10.091893152934995,168.65553579817686,12.986744618963478,-0.03030087329361275,-0.02867047466895767,14.484367412347432
humidity,7761,Decision Tree,3,0.5000871598024057,-0.12433081755261344,10.836240112104427,194.51076779544672,13.946711719808606,-0.1883016640723536,-0.17003736946344783,15.457863504648934
