Variable,Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
wind_speed,7761,Linear Regression,1,0.08009419235214334,0.0721626939591492,1.315595872563194,3.5761928754104693,1.8910824612931265,0.12975635904819194,0.13739154904438644,53.427395758505114
wind_speed,7761,Linear Regression,2,0.08009419235214334,0.0721626939591492,1.3302036746336174,3.686954762854997,1.9201444640586283,0.10251015819431075,0.10788279064995465,54.432334529348594
wind_speed,7761,Linear Regression,3,0.08009419235214334,0.0721626939591492,1.3626915900772307,3.811020625751559,1.9521835532939926,0.07231116173268437,0.07296950286861947,57.09053834908844
wind_speed,7761,Linear Regression,4,0.08009419235214334,0.0721626939591492,1.3825632771898655,3.917347092549437,1.9792289136301129,0.04626920498117226,0.04635130230253526,58.393904014861405
wind_speed,7761,Linear Regression,5,0.08009419235214334,0.0721626939591492,1.3771162314256202,3.9330594086827,1.9831942438103989,0.04227765731625943,0.0426372399769801,57.89053604801113
wind_speed,7761,Linear Regression,6,0.08009419235214334,0.0721626939591492,1.3700040232638113,3.9426394942851997,1.9856080918160057,0.03985162248227647,0.04027927020602007,57.64131221613869
wind_speed,7761,Random Forest,1,0.7858621553013879,0.07208618198843426,1.2593403485927392,3.4082734653944873,1.8461509866190489,0.17061847243239103,0.1747211735083467,50.87917717001657
wind_speed,7761,Random Forest,2,0.7858621553013879,0.07208618198843426,1.32086587793094,3.6770067233219805,1.9175522739476962,0.10493174050302612,0.1062578807959712,54.0801219953757
wind_speed,7761,Random Forest,3,0.7858621553013879,0.07208618198843426,1.4005981241059593,3.907047709953605,1.9766253337326234,0.04893599194649989,0.0495774253011515,59.49956040710806
wind_speed,7761,Random Forest,4,0.7858621553013879,0.07208618198843426,1.4152361446473605,3.9474650430571865,1.9868228514533415,0.03893658517407739,0.04074704337846502,61.27085158114378
wind_speed,7761,Random Forest,5,0.7858621553013879,0.07208618198843426,1.3952462778896557,3.967234213846496,1.9917917094531987,0.03395589782542241,0.03408003232091594,59.18742042339217
wind_speed,7761,Random Forest,6,0.7858621553013879,0.07208618198843426,1.393714510106963,3.961993295816923,1.9904756456226544,0.035138404049188776,0.03521939841026478,59.095228219520244
wind_speed,7761,Gradient Boosting,1,0.2978602242323896,0.07638884081349533,1.240004205533986,3.340038686014627,1.8275772722417587,0.18722296914602454,0.1991493285129463,48.64523078379271
wind_speed,7761,Gradient Boosting,2,0.2978602242323896,0.07638884081349533,1.3018275914082935,3.6504087880368137,1.9106042991778318,0.11140629152598402,0.11876391351177007,52.003246179240506
wind_speed,7761,Gradient Boosting,3,0.2978602242323896,0.07638884081349533,1.3702784384008695,3.8781675998697263,1.969306375318408,0.05596606562065176,0.056262048814031074,57.12358836193481
wind_speed,7761,Gradient Boosting,4,0.2978602242323896,0.07638884081349533,1.38631005198172,3.9503659285414296,1.9875527486186195,0.038230325617856886,0.038280868197001494,58.31024545320192
wind_speed,7761,Gradient Boosting,5,0.2978602242323896,0.07638884081349533,1.3733888469219537,3.9649035791368594,1.99120656365352,0.034523420637085356,0.035524717086373614,57.014027931620724
wind_speed,7761,Gradient Boosting,6,0.2978602242323896,0.07638884081349533,1.3653674950232466,3.979052561803964,1.9947562662651204,0.03098397233336936,0.03268281352752278,56.2694985966253
wind_speed,7761,SVM,1,0.22821367849157767,-0.014134508985781946,1.2904607428098263,3.7868036043202404,1.945971121142408,0.07850558652689255,0.126773323293635,47.15790458345796
wind_speed,7761,SVM,2,0.22821367849157767,-0.014134508985781946,1.323161297175793,4.012867968383303,2.0032144089895376,0.02317536563898137,0.07589755324337455,48.07288175288978
wind_speed,7761,SVM,3,0.22821367849157767,-0.014134508985781946,1.3705980935267468,4.177494576447329,2.0438920168265566,-0.01689690795839649,0.015584638437803222,51.54446713399238
wind_speed,7761,SVM,4,0.22821367849157767,-0.014134508985781946,1.3957457749826736,4.3388406298395505,2.0829883892714216,-0.05634906113559879,-0.034391100095024774,53.77051220204796
wind_speed,7761,SVM,5,0.22821367849157767,-0.014134508985781946,1.370888538838733,4.332245265562117,2.08140463763347,-0.05492636995390532,-0.015147735420802055,51.22009558617402
wind_speed,7761,SVM,6,0.22821367849157767,-0.014134508985781946,1.3563177296960054,4.34574201651114,2.0846443381332795,-0.058315667032665,-0.013750402700570818,49.94085109195031
wind_speed,7761,KNN,1,1.0,-0.21015562300656618,1.4583851811744015,4.531674252209901,2.128772945198689,-0.10275391687257907,-0.08647519213822652,56.975369276539034
wind_speed,7761,KNN,2,1.0,-0.21015562300656618,1.5306885702185955,4.772227866231917,2.1845429421807934,-0.16167035079340653,-0.1549792189615844,60.96362033247461
wind_speed,7761,KNN,3,1.0,-0.21015562300656618,1.5786449758361516,4.94809895121298,2.224432276157892,-0.20447948685065298,-0.2041664100898708,63.83651431332541
wind_speed,7761,KNN,4,1.0,-0.21015562300656618,1.6269144957748136,5.184173602453975,2.2768780385549805,-0.2621567337721562,-0.26212040462524344,67.4634940762573
wind_speed,7761,KNN,5,1.0,-0.21015562300656618,1.5949464148628953,5.165315985401177,2.272733153144288,-0.257783829890601,-0.2548898097684351,63.97514677769725
wind_speed,7761,KNN,6,1.0,-0.21015562300656618,1.6049875006777061,5.223557217238341,2.285510275023576,-0.27208941986000124,-0.2709570292426653,64.37443473719343
wind_speed,7761,Decision Tree,1,0.3419172666138832,-0.1286870177754628,1.350404455513543,4.181943755012848,2.044980135603485,-0.01764923940248697,-0.012208109090032782,53.19850908923884
