Variable,Station,Step,Fusion Method,MAE,RMSE,R2,MAPE
temperature_c,7761,3,simple_avg,1.474519402322722,1.980364642267667,0.9154639475482129,12.060836425015017
temperature_c,7761,3,weighted_avg,1.4699819152032774,1.9761454183098275,0.9158237768194273,12.021782115454963
temperature_c,7761,3,error_weighted,1.4534072483793918,1.9608666511654615,0.9171203788416895,11.877122265434124
temperature_c,7761,3,stacking,1.3010362488357505,1.7703346229623473,0.9319428703827846,10.487191343075075
temperature_c,7761,3,meta_model,1.3703825014021307,1.852338263275048,0.925491898412613,11.10577440357498
temperature_c,7761,3,bayesian_avg,1.4937122835548235,1.9964271412264774,0.9140870627605997,12.190770310592574
temperature_c,7761,3,neural_fusion,1.304659978670813,1.7698085611900674,0.9319833112512728,10.56780427661086
temperature_c,7761,6,simple_avg,1.571955775570769,2.074370211564962,0.9072284526714688,13.151373056166385
temperature_c,7761,6,weighted_avg,1.5700742155174716,2.0726645469505343,0.9073809539837735,13.136696313108489
temperature_c,7761,6,error_weighted,1.5627893626962164,2.0661089012585316,0.9079659183260396,13.080010127204769
temperature_c,7761,6,stacking,1.4135889916729243,1.9395585165692217,0.9147717609741882,11.456347116315788
temperature_c,7761,6,meta_model,1.4740958496915304,2.0083126674209337,0.9086222633538964,11.652708680100828
temperature_c,7761,6,bayesian_avg,1.5566877548070017,2.062578396952434,0.9082801796982161,13.044004981106388
temperature_c,7761,6,neural_fusion,1.4133452452051447,1.9386961530501563,0.9148475322224181,11.481463566804102
temperature_c,7761,9,simple_avg,1.6440546173594177,2.178703628467843,0.8976316561409974,13.773935996559372
temperature_c,7761,9,weighted_avg,1.6435391460679774,2.178250498411175,0.8976742331570859,13.770506648703487
temperature_c,7761,9,error_weighted,1.6415889579898821,2.1765411945855813,0.8978347630863275,13.757659643190049
temperature_c,7761,9,stacking,1.5798612060515982,2.1088658360868155,0.9071892466790481,13.534585812428999
temperature_c,7761,9,meta_model,1.6569651710600102,2.194580225540188,0.8994913780493061,13.855109517375611
temperature_c,7761,9,bayesian_avg,1.6379139230650281,2.173416027011094,0.898127938576174,13.73644119321166
temperature_c,7761,9,neural_fusion,1.5876022166424892,2.112010208470829,0.9069122739775931,13.622499446658349
temperature_c,7790,3,simple_avg,1.3969629299633286,1.8592569193208115,0.9264346378811175,10.676775496159042
temperature_c,7790,3,weighted_avg,1.3944069958238143,1.8567981448092792,0.9266290822665297,10.657784428652983
temperature_c,7790,3,error_weighted,1.3830711953082455,1.8460658025413244,0.927474802719913,10.573245112766603
temperature_c,7790,3,stacking,1.316934025198335,1.7811710594545476,0.931382039639068,9.669261144162265
temperature_c,7790,3,meta_model,1.3762983733344847,1.8582533667134062,0.9253144813697679,10.099062017738694
temperature_c,7790,3,bayesian_avg,1.4085225077334176,1.8707626073610664,0.9255213277730981,10.762245306110342
temperature_c,7790,3,neural_fusion,1.3177577858415246,1.7807949347374292,0.931411016289903,9.666353018759425
temperature_c,7790,6,simple_avg,1.4742634775383965,1.9417205270501718,0.9197408875975175,11.371772006628671
temperature_c,7790,6,weighted_avg,1.4723762632857462,1.9398600094452443,0.919894619249541,11.357463275804673
temperature_c,7790,6,error_weighted,1.4640138223273753,1.9316982170540087,0.9205672740527282,11.29436438986702
temperature_c,7790,6,stacking,1.3901990901481323,1.882512045038072,0.921356318100376,10.504140039093793
temperature_c,7790,6,meta_model,1.4556080541886098,1.9500299030160202,0.9156139122522465,10.910400061943083
temperature_c,7790,6,bayesian_avg,1.4648979888805411,1.9331592335808487,0.9204470726549981,11.290595264604192
temperature_c,7790,6,neural_fusion,1.393553660849934,1.8816930839053616,0.9214247289341637,10.614365338109504
temperature_c,7790,9,simple_avg,1.521017082367213,2.012547216433103,0.9137763875946543,11.682387983592417
temperature_c,7790,9,weighted_avg,1.520335758069466,2.011869756503921,0.9138344266910111,11.677229213190234
temperature_c,7790,9,error_weighted,1.5172820007480883,2.0088433955879768,0.9140934613446382,11.654230563971911
temperature_c,7790,9,stacking,1.4377546048314434,1.9338170907698344,0.9193562053381568,10.736207653045932
temperature_c,7790,9,meta_model,1.498031708106709,2.0051919594916394,0.9132934161428419,11.120185960222722
temperature_c,7790,9,bayesian_avg,1.5208479778740756,2.0126158890815073,0.9137705032061609,11.681335352595678
temperature_c,7790,9,neural_fusion,1.4417409095856373,1.935433725149008,0.9192213156160601,10.823896643016923
