Variable,Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
temperature_c,merged,Linear Regression,3,0.8565185642372417,0.8567735840794066,2.177766117452524,7.556443256433874,2.7488985533180146,0.8389306070046061,0.8405553012047897,16.744385736301783
temperature_c,merged,Linear Regression,6,0.8565185642372417,0.8567735840794066,2.0813002985849325,7.042993182173639,2.653863821331765,0.8498743406444554,0.851250945892932,16.077655584278464
temperature_c,merged,Linear Regression,9,0.8565185642372417,0.8567735840794066,1.8558320803831316,5.557610199973398,2.357458419564044,0.8815158045891585,0.8823260715689155,14.395404700010412
temperature_c,merged,Random Forest,3,0.9769538658830227,0.8956880641390526,1.6690451962715476,4.856926308698811,2.203843530902049,0.8964721700650116,0.8967202298360222,13.035001238380648
temperature_c,merged,Random Forest,6,0.9769538658830227,0.8956880641390526,1.6330419770516027,4.71102092926014,2.170488638362371,0.8995817396170366,0.8999394715862727,13.148796797731313
temperature_c,merged,Random Forest,9,0.9769538658830227,0.8956880641390526,1.746618212742319,5.112262966915055,2.2610313945000975,0.8910102827351096,0.8913239922041817,13.900535158427136
temperature_c,merged,Gradient Boosting,3,0.8901069389827333,0.8864114616823383,1.8149512946427748,5.475501002023831,2.3399788464906752,0.8832869389986178,0.8841129377724415,14.031413333986547
temperature_c,merged,Gradient Boosting,6,0.8901069389827333,0.8864114616823383,1.7860095113490428,5.350954896612316,2.3132131109373204,0.8859411600640253,0.8866327541698268,14.12464899608363
temperature_c,merged,Gradient Boosting,9,0.8901069389827333,0.8864114616823383,1.775605999474408,5.159356358259718,2.2714216601634574,0.8900062859843718,0.8904790896721155,13.949395895427033
temperature_c,merged,Neural Network,3,0.9043745006991877,0.8993384897036328,1.7066606649505955,5.028926919595251,2.242526904988043,0.8928058904342688,0.8998704865871547,12.542793945388745
temperature_c,merged,Neural Network,6,0.9043745006991877,0.8993384897036328,1.5688601212296756,4.297947376429485,2.0731491447624997,0.9083866522269194,0.9085111934031332,12.646031626533096
temperature_c,merged,Neural Network,9,0.9043745006991877,0.8993384897036328,1.7114970647157617,4.839615565419365,2.1999126267693825,0.8968229264497098,0.8978579024165787,13.516874084388537
temperature_c,merged,XGBoost,3,0.9044919493173799,0.895389350970519,1.7181450933843936,5.010521488823905,2.238419417540847,0.8931982114590625,0.8937168855296669,13.345794178725912
temperature_c,merged,XGBoost,6,0.9044919493173799,0.895389350970519,1.6732703591060731,4.792520066808596,2.18918251107773,0.8978445362086422,0.8984961985226437,13.269328036802234
temperature_c,merged,XGBoost,9,0.9044919493173799,0.895389350970519,1.7257163278157235,4.919244050017256,2.2179368904496033,0.8951253052438521,0.8957252048188269,13.588154198937955
